Local time in Ganzhou,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
17.03.2020 11:00,14.3,753.7,766.2,,95,Wind blowing from the north-west,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.9,,,,,,,5.0,13.5,7.0,6,,,,
17.03.2020 08:00,14.1,753.6,766.0,1.8,93,Wind blowing from the south-southeast,1,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.9,18.2,,,1500-2000,,,7.0,13.0,2.0,12,,,,
17.03.2020 05:00,14.0,751.8,764.2,,92,Wind blowing from the north-northeast,1,,,, ,,,,,,,,,,9.0,12.7,,,,,,
17.03.2020 02:00,14.5,752.8,765.2,,90,Wind blowing from the east-northeast,1,,5,,Rain  not freezing  intermittent  moderate at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.2,18.2,,,2500 or more  or no clouds.,,,6.0,12.9,1.0,12,,,,
16.03.2020 23:00,15.1,753.4,765.8,,83,Wind blowing from the east-northeast,0,,5,, ,,,14.2,18.2,,,,,,12.0,12.2,No precipitation,6,,,,
16.03.2020 20:00,15.7,752.7,765.1,,75,Wind blowing from the east-northeast,2,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.2,18.2,,,1500-2000,,,13.0,11.3,Trace of precipitation,12,,,,
16.03.2020 17:00,17.7,751.4,763.8,,55,Wind blowing from the east-northeast,2,,,, ,,,,,,,,,,14.0,8.6,,,,,,
16.03.2020 14:00,17.8,751.9,764.2,-1.5,61,Wind blowing from the east,2,,3,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.2,23.3,,,1500-2000,,,11.0,10.2,Trace of precipitation,12,,,,
16.03.2020 11:00,17.1,753.4,765.7,,63,Wind blowing from the west-southwest,1,,3,100%., ,,,14.2,,,,1500-2000,,,13.0,10.0,No precipitation,6,,,,
16.03.2020 08:00,14.6,753.0,765.4,,76,Wind blowing from the east-northeast,1,,3,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,23.3,,,2000-2500,,,14.0,10.4,No precipitation,12,,,,
16.03.2020 05:00,14.3,752.2,764.5,,79,Wind blowing from the east,1,,,, ,,,,,,,,,,13.0,10.7,,,,,,
16.03.2020 02:00,14.7,752.5,764.8,,71,Wind blowing from the north-east,1,,4,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,23.3,,,2500 or more  or no clouds.,,,15.0,9.5,No precipitation,12,,,,
15.03.2020 23:00,15.8,752.8,765.1,,64,Wind blowing from the east,1,,6,, ,,,7.3,23.3,,,,,,15.0,9.0,No precipitation,6,,,,
15.03.2020 20:00,17.9,751.5,764.0,0.8,53,Wind blowing from the east,1,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,23.3,,,2500 or more  or no clouds.,,,14.0,8.2,No precipitation,12,,,,
15.03.2020 17:00,22.2,750.7,763.1,,30,Wind blowing from the east,1,,,90  or more  but not 100%, ,,,,,,,,,,14.0,3.8,,,,,,
15.03.2020 14:00,21.1,752.1,764.5,,27,Wind blowing from the east,3,,6,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,21.1,,,,,,14.0,1.4,No precipitation,12,,,,
15.03.2020 11:00,16.6,755.2,767.8,,52,Wind blowing from the north-northwest,1,,,, ,,,,,,,,,,13.0,6.7,,,,,,
15.03.2020 08:00,7.6,755.5,768.1,1.3,98,Wind blowing from the north-east,1,,,90  or more  but not 100%,Fog or ice fog. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,7.3,19.3,,,2500 or more  or no clouds.,,,0.8,7.3,No precipitation,12,,,,
15.03.2020 05:00,8.0,754.2,766.7,,97,Wind blowing from the north-east,2,,6,,Mist. ,,,8.0,19.3,,,,,,1.1,7.6,No precipitation,6,,,,
15.03.2020 02:00,10.0,754.6,767.2,,93,Wind blowing from the north-east,1,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.0,19.3,,,2500 or more  or no clouds.,,,9.0,8.9,No precipitation,12,,,,
14.03.2020 23:00,12.2,754.8,767.3,,80,Wind blowing from the east,1,,8,, ,,,12.2,19.3,,,,,,12.0,8.9,No precipitation,6,,,,
14.03.2020 20:00,15.0,753.8,766.3,0.9,60,Wind blowing from the north,1,,8,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.0,19.3,,,,,,14.0,7.3,No precipitation,12,,,,
14.03.2020 17:00,18.6,752.9,765.3,,49,Wind blowing from the north-northwest,3,,,20–30%., ,,,,,,,1500-2000,,,14.0,7.7,,,,,,
14.03.2020 14:00,17.9,753.4,765.8,-2.3,58,Wind blowing from the north,2,,5,70 – 80%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.0,17.9,,,1500-2000,,,13.0,9.5,No precipitation,12,,,,
14.03.2020 11:00,16.0,755.7,768.1,,74,Wind blowing from the north,3,,5,100%., ,,,14.0,16.5,,,1000-1500,,,9.0,11.4,No precipitation,6,,,,
14.03.2020 08:00,14.7,755.3,767.8,1.5,83,Wind blowing from the north-northwest,2,,4,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.0,15.3,,,2500 or more  or no clouds.,,,9.0,11.8,No precipitation,12,,,,
14.03.2020 05:00,14.4,753.8,766.3,,87,Wind blowing from the north,1,,,, ,,,,,,,,,,10.0,12.3,,,,,,
14.03.2020 02:00,14.1,754.4,766.9,,89,Wind blowing from the north-northeast,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.7,15.3,,,2500 or more  or no clouds.,,,10.0,12.3,2.0,12,,,,
13.03.2020 23:00,14.4,754.6,767.2,,90,Wind blowing from the north-west,2,,6,, ,,,13.5,15.3,,,,,,11.0,12.8,0.4,6,,,,
13.03.2020 20:00,14.3,753.2,765.7,1.6,94,Wind blowing from the west-northwest,1,,6,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.3,15.3,,,2500 or more  or no clouds.,,,12.0,13.3,12.0,12,,,,
13.03.2020 17:00,14.9,751.6,764.0,,92,Wind blowing from the north-northwest,2,,5,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,13.2,15.3,,,1500-2000,,,13.0,13.6,5.0,6,,,,
13.03.2020 14:00,15.0,751.3,763.7,,94,Wind blowing from the west-northwest,1,,3,100%.,Rain  not freezing  intermittent  moderate at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.7,15.0,,,1500-2000,,,5.0,14.0,11.0,12,,,,
13.03.2020 11:00,14.4,752.7,765.1,,97,Wind blowing from the south-southwest,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.6,14.5,,,,,,7.0,13.9,7.0,6,,,,
13.03.2020 08:00,14.0,751.4,763.9,1.2,98,Wind blowing from the north-west,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,14.0,,,2500 or more  or no clouds.,,,2.7,13.7,6.0,12,,,,
13.03.2020 05:00,13.8,750.2,762.7,,97,Wind blowing from the south-west,1,,5,,Mist. ,,,,13.8,,,,,,5.0,13.3,4.0,6,,,,
13.03.2020 02:00,13.7,750.6,763.0,0.1,97,Wind blowing from the west,0,,5,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,13.7,,,2500 or more  or no clouds.,,,4.9,13.2,8.0,12,,,,
12.03.2020 23:00,13.6,750.5,763.0,,96,Wind blowing from the south-southwest,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,,,11.9,13.6,,,,,,5.0,13.0,4.0,6,,,,
12.03.2020 20:00,13.3,749.0,761.5,,96,Wind blowing from the north-west,1,,5,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,14.5,,,1500-2000,,,7.0,12.7,24.0,12,,,,
12.03.2020 17:00,13.2,748.1,760.6,,95,Wind blowing from the west-northwest,1,,6,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,,,,1500-2000,,,8.0,12.4,18.0,6,,,,
12.03.2020 14:00,12.8,748.6,761.0,,96,Wind blowing from the south-southeast,1,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,,,,300-600,,,5.0,12.2,37.0,12,,,,
12.03.2020 11:00,12.7,750.6,763.1,,95,Wind blowing from the south-east,2,,6,,Shower(s) of hail  with or without rain or rain and snow mixed  not associated with thunder  slight. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.9,,,,,,,4.3,11.9,15.0,6,,,,
12.03.2020 08:00,12.1,750.9,763.4,0.5,96,Wind blowing from the south-southwest,1,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.5,16.0,,,2500 or more  or no clouds.,,,6.0,11.5,27.0,12,,,,
12.03.2020 05:00,12.0,750.4,762.9,,96,Wind blowing from the north,1,,4,,Rain  not freezing  intermittent  heavy at time of observation. ,,,10.1,16.0,,,,,,2.9,11.4,15.0,6,,,,
12.03.2020 02:00,12.5,751.2,763.6,-0.1,94,Wind blowing from the east-southeast,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,16.0,,,2500 or more  or no clouds.,,,6.0,11.6,10.0,12,,,,
11.03.2020 23:00,12.9,751.3,763.9,,89,Wind blowing from the east-northeast,1,,,,Rain  not freezing  intermittent  slight at time of observation. ,,,9.7,16.0,,,,,,9.0,11.1,1.0,6,,,,
11.03.2020 20:00,14.5,750.9,763.4,0.0,71,Wind blowing from the east,1,,4,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,16.0,,,2500 or more  or no clouds.,,,12.0,9.3,0.5,12,,,,
11.03.2020 17:00,15.5,750.9,763.4,,65,Wind blowing from the east-northeast,2,,3,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,17.1,,,1500-2000,,,13.0,9.0,No precipitation,6,,,,
11.03.2020 14:00,16.0,751.8,764.3,-2.2,62,Wind blowing from the north-northwest,1,,5,90  or more  but not 100%,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,17.8,,,2500 or more  or no clouds.,,,11.0,8.7,0.3,12,,,,
11.03.2020 11:00,13.8,754.0,766.5,,70,Wind blowing from the east,1,,,, ,,,,,,,,,,11.0,8.4,,,,,,
11.03.2020 08:00,10.5,754.0,766.6,,93,Wind blowing from the east-northeast,1,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,17.8,,,2500 or more  or no clouds.,,,8.0,9.4,No precipitation,12,,,,
11.03.2020 05:00,10.1,753.4,765.9,,92,Wind blowing from the west-northwest,1,,,, ,,,,,,,,,,9.0,8.9,,,,,,
11.03.2020 02:00,11.0,753.6,766.1,-0.2,87,Wind blowing from the east-northeast,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.0,17.8,,,2500 or more  or no clouds.,,,11.0,8.9,No precipitation,12,,,,
10.03.2020 23:00,12.3,753.8,766.3,,81,Wind blowing from the east-northeast,2,,7,, ,,,12.3,17.8,,,,,,11.0,9.1,No precipitation,6,,,,
10.03.2020 20:00,14.5,752.8,765.4,,69,Wind blowing from the north-east,2,,7,no clouds,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,17.9,,,,,,12.0,8.9,No precipitation,12,,,,
10.03.2020 17:00,16.9,752.2,764.6,,54,Wind blowing from the east-northeast,3,,,, ,,,,,,,,,,13.0,7.5,,,,,,
10.03.2020 14:00,15.5,752.8,765.3,,65,Wind blowing from the east-northeast,4,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,20.4,,,2500 or more  or no clouds.,,,13.0,9.0,0.1,12,,,,
10.03.2020 11:00,13.9,754.3,766.8,,76,Wind blowing from the north-east,2,,9,100%., ,,,12.4,,,,1000-1500,,,14.0,9.7,No precipitation,6,,,,
10.03.2020 08:00,12.9,752.8,765.2,1.8,80,Wind blowing from the north-northeast,2,,9,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,25.0,,,600-1000,,,13.0,9.5,1.0,12,,,,
10.03.2020 05:00,12.8,751.0,763.3,,87,Wind blowing from the north-northeast,3,,9,,Rain (not freezing) not falling as shower(s). ,,,12.8,25.0,,,,,,16.0,10.7,0.1,6,,,,
10.03.2020 02:00,14.8,750.4,762.7,,81,Wind blowing from the north,3,,9,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,14.8,25.0,,,2500 or more  or no clouds.,,,19.0,11.6,2.0,12,,,,
09.03.2020 20:00,17.9,746.1,758.2,2.6,90,Wind blowing from the north,2,,9,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.9,25.1,,,300-600,,,12.0,16.2,3.0,12,,,,
09.03.2020 17:00,19.9,743.5,755.6,,86,Wind blowing from the north-east,2,,9,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.1,26.0,,,300-600,,,16.0,17.5,2.0,6,,,,
09.03.2020 14:00,19.2,743.0,755.1,0.0,88,Wind blowing from the north-northeast,2,,10,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.2,27.0,,,300-600,,,11.0,17.2,2.0,12,,,,
09.03.2020 11:00,24.9,743.0,754.9,,70,Wind blowing from the west-southwest,2,,10,100%., ,,,20.2,27.0,,,1000-1500,,,14.0,19.1,No precipitation,6,,,,
09.03.2020 08:00,21.6,742.6,754.6,1.1,86,Wind blowing from the north-northwest,1,,10,70 – 80%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.5,27.0,,,600-1000,,,12.0,19.2,0.9,12,,,,
09.03.2020 05:00,21.8,741.5,753.4,,80,Wind blowing from the west,1,,,, ,,,,,,,,,,15.0,18.2,,,,,,
09.03.2020 02:00,22.2,742.0,753.8,,80,Wind blowing from the south-southwest,3,,8,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.0,27.0,,,2500 or more  or no clouds.,,,16.0,18.6,0.9,12,,,,
08.03.2020 23:00,22.9,742.6,754.6,,77,Wind blowing from the south-southwest,4,,8,,Rain  not freezing  intermittent  slight at time of observation. ,,,17.0,27.0,,,,,,8.0,18.7,0.5,6,,,,
08.03.2020 20:00,24.9,742.0,754.0,0.8,66,Wind blowing from the south-west,2,,8,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.0,27.0,,,2000-2500,,,15.0,18.1,No precipitation,12,,,,
08.03.2020 17:00,26.0,741.2,753.2,,64,Wind blowing from the south-southwest,3,,,90  or more  but not 100%, ,,,,,,,,,,15.0,18.7,,,,,,
08.03.2020 14:00,26.9,742.3,754.3,-3.2,61,Wind blowing from the south-southeast,2,,6,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.0,26.9,,,2500 or more  or no clouds.,,,14.0,18.7,No precipitation,12,,,,
08.03.2020 11:00,24.2,745.5,757.5,,72,Wind blowing from the north-northeast,2,,,70 – 80%., ,,,,,,,1000-1500,,,11.0,18.8,,,,,,
08.03.2020 08:00,17.5,745.6,757.8,,92,Wind blowing from the north,1,,2,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,17.0,23.4,,,2500 or more  or no clouds.,,,10.0,16.2,No precipitation,12,,,,
08.03.2020 05:00,17.2,744.8,757.0,,91,Wind blowing from the north-northwest,1,,,, ,,,,,,,,,,10.0,15.7,,,,,,
08.03.2020 02:00,18.3,746.0,758.2,-1.0,89,Wind blowing from the west-northwest,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.6,23.4,,,2500 or more  or no clouds.,,,10.0,16.5,No precipitation,12,,,,
07.03.2020 23:00,19.7,747.0,759.1,,90,Wind blowing from the north-northwest,1,,6,, ,,,16.6,23.4,,,,,,11.0,18.0,No precipitation,6,,,,
07.03.2020 20:00,20.4,745.9,758.1,0.3,87,Wind blowing from the north-northwest,1,,6,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.6,23.4,,,1500-2000,,,10.0,18.2,No precipitation,12,,,,
07.03.2020 17:00,22.1,745.6,757.7,,77,Wind blowing from the east,1,,,90  or more  but not 100%, ,,,,,,,,,,14.0,17.9,,,,,,
07.03.2020 14:00,22.0,746.2,758.4,-2.7,75,Wind blowing from the east-southeast,1,,3,90  or more  but not 100%,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,16.6,22.2,,,2500 or more  or no clouds.,,,14.0,17.4,No precipitation,12,,,,
07.03.2020 11:00,19.0,748.9,761.2,,87,Wind blowing from the south,0,,2,100%., ,,,16.6,20.3,,,1500-2000,,,9.0,16.8,No precipitation,6,,,,
07.03.2020 08:00,17.3,748.7,760.9,1.0,94,Wind blowing from the north,1,,2,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,1500-2000,,,7.0,16.3,0.1,12,,,,
07.03.2020 05:00,17.1,747.7,760.0,,93,Wind blowing from the north,1,,,, ,,,,,,,,,,8.0,16.0,,,,,,
07.03.2020 02:00,17.0,748.0,760.3,,93,Wind blowing from the east-northeast,1,,7,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,20.3,,,2500 or more  or no clouds.,,,12.0,15.9,0.1,12,,,,
06.03.2020 23:00,17.1,749.2,761.5,,91,Wind blowing from the north-east,1,,7,,Rain (not freezing) not falling as shower(s). ,,,12.4,20.3,,,,,,11.0,15.6,0.1,6,,,,
06.03.2020 20:00,18.2,748.6,760.9,0.9,82,Wind blowing from the north,1,,7,70 – 80%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,20.3,,,1500-2000,,,14.0,15.1,No precipitation,12,,,,
06.03.2020 17:00,19.2,747.7,760.0,,76,Wind blowing from the south-southwest,2,,7,90  or more  but not 100%,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,20.3,,,,,,15.0,14.9,No precipitation,6,,,,
06.03.2020 14:00,19.9,748.4,760.7,-2.5,69,Wind blowing from the south-southwest,2,,7,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,12.4,20.0,,,2500 or more  or no clouds.,,,15.0,14.0,No precipitation,12,,,,
06.03.2020 11:00,16.7,750.9,763.3,,75,Wind blowing from the north-northwest,1,,4,90  or more  but not 100%, ,,,11.9,16.7,,,,,,12.0,12.3,No precipitation,6,,,,
06.03.2020 08:00,13.1,750.8,763.3,,88,Wind blowing from the east,1,,4,,Shower(s) of hail  with or without rain or rain and snow mixed  not associated with thunder  slight. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,13.7,,,2500 or more  or no clouds.,,,11.0,11.2,No precipitation,12,,,,
06.03.2020 05:00,12.4,751.2,763.7,,91,Wind blowing from the east,1,,,, ,,,,,,,,,,11.0,11.0,,,,,,
06.03.2020 02:00,12.5,751.9,764.5,-1.2,88,Wind blowing from the east-northeast,1,,3,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,13.7,,,2500 or more  or no clouds.,,,11.0,10.6,No precipitation,12,,,,
05.03.2020 23:00,12.6,753.1,765.7,,85,Wind blowing from the east,1,,3,, ,,,9.8,13.7,,,,,,11.0,10.1,No precipitation,6,,,,
05.03.2020 20:00,12.9,752.8,765.4,0.1,81,Wind blowing from the north-east,1,,,100%.,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,13.7,,,1500-2000,,,13.0,9.7,Trace of precipitation,12,,,,
05.03.2020 17:00,13.5,752.7,765.3,,76,Wind blowing from the north-northeast,1,,,100%., ,,,,,,,1500-2000,,,15.0,9.4,,,,,,
05.03.2020 14:00,13.4,753.4,766.0,-2.4,74,Wind blowing from the south-east,1,,4,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,13.4,,,1500-2000,,,13.0,8.9,Trace of precipitation,12,,,,
05.03.2020 11:00,11.9,755.8,768.4,,80,Wind blowing from the north-east,1,,4,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.8,11.9,,,1500-2000,,,14.0,8.6,No precipitation,6,,,,
05.03.2020 08:00,10.1,756.0,768.7,1.2,89,Wind blowing from the north-northwest,2,,6,100%.,Cloud development not observed or not observable. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.7,,,,1500-2000,,,11.0,8.4,0.5,12,,,,
05.03.2020 05:00,9.9,754.8,767.5,,90,Wind blowing from the north-west,2,,,, ,,,,,,,,,,8.0,8.3,,,,,,
05.03.2020 02:00,9.9,755.3,768.0,,90,Wind blowing from the north-west,1,,6,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,10.5,,,2500 or more  or no clouds.,,,9.0,8.3,6.0,12,,,,
04.03.2020 23:00,9.9,756.2,769.0,,91,Wind blowing from the north,2,,6,,Rain (not freezing) not falling as shower(s). ,,,9.4,10.9,,,,,,10.0,8.5,3.0,6,,,,
04.03.2020 20:00,9.9,755.8,768.5,0.4,92,Wind blowing from the north-northwest,2,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,9.4,,,,300-600,,,9.0,8.7,8.0,12,,,,
04.03.2020 17:00,10.1,755.4,768.1,,91,Wind blowing from the north-west,2,,6,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,,,,,,,8.0,8.7,6.0,6,,,,
04.03.2020 14:00,10.4,754.6,767.2,-1.5,90,Wind blowing from the north,2,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,,,,300-600,,,12.0,8.8,6.0,12,,,,
04.03.2020 11:00,10.4,756.1,768.7,,86,Wind blowing from the north-northwest,3,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,,,,1500-2000,,,15.0,8.2,0.6,6,,,,
04.03.2020 08:00,9.8,755.5,768.2,1.5,93,Wind blowing from the north-northwest,1,,6,,Rain (not freezing) not falling as shower(s). ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,13.1,,,2500 or more  or no clouds.,,,13.0,8.7,9.0,12,,,,
04.03.2020 05:00,9.8,754.0,766.7,,92,Wind blowing from the north,2,,5,,Rain  not freezing  intermittent  slight at time of observation. ,,,9.8,13.1,,,,,,18.0,8.6,8.0,6,,,,
04.03.2020 02:00,10.3,753.7,766.3,-1.7,93,Wind blowing from the north,2,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,14.0,,,2500 or more  or no clouds.,,,13.0,9.2,8.0,12,,,,
03.03.2020 23:00,10.9,755.4,768.0,,92,Wind blowing from the north-west,3,,6,,Rain  not freezing  intermittent  moderate at time of observation. ,,,10.9,15.0,,,,,,8.0,9.7,2.0,6,,,,
03.03.2020 20:00,12.0,753.9,766.5,,92,Wind blowing from the west-northwest,2,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,11.5,,,,1500-2000,,,19.0,10.7,11.0,12,,,,
03.03.2020 17:00,12.1,752.8,765.3,,93,Wind blowing from the north-west,2,,6,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Rain.,11.5,,,,1500-2000,,,12.0,11.0,11.0,6,,,,
