Local time in Ganzhou,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
30.03.2020 05:00,8.8,750.9,763.6,-0.1,92,Wind blowing from the north-northwest,2,,4,,Cloud development not observed or not observable. ,,,8.8,,,,2500 or more  or no clouds.,,,19.0,7.6,7.0,12,,,,
30.03.2020 02:00,9.1,751.0,763.7,-0.7,92,Wind blowing from the north-northwest,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.0,,,,2500 or more  or no clouds.,,,19.0,7.9,10.0,12,,,,
29.03.2020 23:00,9.2,751.7,764.4,1.3,95,Wind blowing from the north-west,1,,4,,Rain  not freezing  intermittent  slight at time of observation. ,,,9.0,,,,2500 or more  or no clouds.,,,6.0,8.4,12.0,12,,,,
29.03.2020 20:00,9.3,750.4,763.1,0.9,96,Wind blowing from the north-northwest,1,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.0,,,,1500-2000,,,5.0,8.7,11.0,12,,,,
29.03.2020 17:00,9.4,749.5,762.1,-0.2,95,Wind blowing from the north-east,1,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.1,,,,1500-2000,,,5.0,8.6,9.0,12,,,,
29.03.2020 14:00,9.3,749.7,762.3,-1.0,94,Wind blowing from the north-northwest,2,,4,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.3,,,,1500-2000,,,6.0,8.4,5.0,12,,,,
29.03.2020 11:00,9.5,750.7,763.3,0.9,95,Wind blowing from the east-northeast,2,,5,100%.,Rain  not freezing  intermittent  slight at time of observation. ,Rain.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,9.4,,,,1500-2000,,,5.0,8.7,0.9,12,,,,
29.03.2020 08:00,10.2,749.8,762.4,0.8,84,Wind blowing from the north-east,2,,5,,Rain  not freezing  intermittent  slight at time of observation. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.0,13.7,,,2500 or more  or no clouds.,,,9.0,7.6,No precipitation,12,,,,
29.03.2020 05:00,10.4,749.0,761.5,-1.6,75,Wind blowing from the north-northeast,2,,7,,Cloud development not observed or not observable. ,,,10.0,13.7,,,2500 or more  or no clouds.,,,18.0,6.2,No precipitation,12,,,,
29.03.2020 02:00,10.3,750.6,763.1,-3.0,71,Wind blowing from the east,3,,8,,Cloud development not observed or not observable. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,10.3,15.0,,,2500 or more  or no clouds.,,,20.0,5.3,No precipitation,12,,,,
